"购买成功",小明,5,浙江省杭州市江干区白杨街道浙江工商大学钱江湾生活区,19812345678
"客户名不能为空",,5,浙江省杭州市江干区白杨街道浙江工商大学钱江湾生活区,19812345678
"客户名过长",小明123456789,5,浙江省杭州市江干区白杨街道浙江工商大学钱江湾生活区,19812345678
"联系电话错误",小明,5,浙江省杭州市江干区白杨街道浙江工商大学钱江湾生活区,1981234567
"联系电话错误",小明,5,浙江省杭州市江干区白杨街道浙江工商大学钱江湾生活区,198123456789
"联系电话只能包含数字",小明,5,浙江省杭州市江干区白杨街道浙江工商大学钱江湾生活区,aaaaaaaaaaa
"联系电话不能为空",小明,5,浙江省杭州市江干区白杨街道浙江工商大学钱江湾生活区,
"交易地址不能为空",小明,5,,123
"购买数量不能为空",小明,,浙江省杭州市江干区白杨街道浙江工商大学钱江湾生活区,19812345678
"购买数量不为整数",小明,1a,浙江省杭州市江干区白杨街道浙江工商大学钱江湾生活区,19812345678
"购买数量不为整数",小明,1.5,浙江省杭州市江干区白杨街道浙江工商大学钱江湾生活区,19812345678
"购买数量不在范围内",小明,0,浙江省杭州市江干区白杨街道浙江工商大学钱江湾生活区,19812345678
"购买数量不在范围内",小明,6,浙江省杭州市江干区白杨街道浙江工商大学钱江湾生活区,19812345678
